G2238371650528 (24, 11) 128
G2238371345240 (23, 12) 200
E2238371650752 (24, 12) 44
G2238366538664 (25, 12) 200
G2238371711128 (23, 13) 137
G2238369175032 (22, 14) 200
E2238371710008 (23, 14) 41
G2238369174920 (8, 15) 200
G2238369174976 (23, 15) 200
G2238371710848 (6, 16) 200
G2238371709504 (9, 16) 200
G2238371709280 (6, 19) 200
E2238371710624 (20, 19) 200
G2238371650640 (21, 19) 200
G2238371650584 (13, 20) 200
E2238371711800 (19, 20) 200
G2238371711016 (20, 20) 11
E2238371711072 (21, 20) 116
G2238371709952 (5, 21) 200
G2238371709896 (12, 21) 200
E2238371711184 (13, 21) 32
E2238371711744 (20, 21) 200
E2238371711856 (24, 21) 200
G2238371711576 (13, 22) 62
E2238371711520 (14, 22) 200
G2238371710904 (6, 24) 134
G2238371711632 (5, 25) 200
E2238371711688 (6, 25) 2
G2238371710792 (7, 25) 200
G2238371709392 (6, 26) 200
